Period Start Date,Period End Date,Total Payable,Currency,Transaction Key,Transaction Posted Timestamp,Transaction Type,Transaction Description,Customer Order #,Customer Order line #,Purchase Order #,Purchase Order line #,Amount,Amount Type,Ship Qty,Commission Rate,Base Commission Rate,Transaction Reason Description,Partner Item Id,Partner GTIN,Partner Item Name,Product Tax Code,Ship to State,Ship to City,Ship to Zipcode,Contract Category,Product Type,Commission Rule,Shipping Method,Fulfillment Type,Fulfillment Details,Original Commission,Commission Incentive Program,Commission Saving,Customer Promo Type,Total Walmart Funded Savings Program,Campaign Id,Item Condition,Original charge,Charge Savings,Incentive Program Name,Ship to country,Store Id
"",,,,2026_07_15_592132,07/14/2026,Sale,Purchase,200015378906833,2,129119584952650,2,18.99,Product Price,1,,,,FV-G2BM-YDNW,00794302517471,Premium Chamois Cloth for Car - 2pack + 1 Bonus Car Shammy Towel - 26x17 - Super Absorbent Reusable Shammy Cloth for Car - Scratch-Free,2038710,CA,San Mateo,94401,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_15_592132,07/14/2026,Sale,Purchase,200015378906833,2,129119584952650,2,1.83,Product tax,1,,,,FV-G2BM-YDNW,00794302517471,Premium Chamois Cloth for Car - 2pack + 1 Bonus Car Shammy Towel - 26x17 - Super Absorbent Reusable Shammy Cloth for Car - Scratch-Free,2038710,CA,San Mateo,94401,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_15_592132,07/14/2026,Sale,Purchase,200015378906833,2,129119584952650,2,-1.83,Product tax withheld,1,,,,FV-G2BM-YDNW,00794302517471,Premium Chamois Cloth for Car - 2pack + 1 Bonus Car Shammy Towel - 26x17 - Super Absorbent Reusable Shammy Cloth for Car - Scratch-Free,2038710,CA,San Mateo,94401,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_15_592132,07/14/2026,Sale,Purchase,200015378906833,2,129119584952650,2,-2.85,Commission on Product,1,15.00,15.00,,FV-G2BM-YDNW,00794302517471,Premium Chamois Cloth for Car - 2pack + 1 Bonus Car Shammy Towel - 26x17 - Super Absorbent Reusable Shammy Cloth for Car - Scratch-Free,2038710,CA,San Mateo,94401,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-2.85,,0.00,,,,,,,,USA,
"",,,,2026_07_15_617510,07/14/2026,Adjustment,WFS Fulfillment fee,200015378906833,2,129119584952650,2,-4.95,Fee/Reimbursement,,,,,FV-G2BM-YDNW,00794302517471,Premium Chamois Cloth for Car - 2pack + 1 Bonus Car Shammy Towel - 26x17 - Super Absorbent Reusable Shammy Cloth for Car - Scratch-Free,2038710,CA,San Mateo,94401,Home & Garden,Cleaning Cloths & Wipes,,,Walmart-fulfilled(WFS),,,,,,,,,-4.95,0.00,,USA,
"",,,,2026_07_22_959210,07/21/2026,Adjustment,WFS Fulfillment fee,200015377377356,3,129120331868123,3,-4.95,Fee/Reimbursement,,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IN,Martinsville,46151,Health & Personal Care,First Aid Gauze & Pads,,,Walmart-fulfilled(WFS),,,,,,,,,-4.95,0.00,,USA,
"",,,,2026_07_22_959211,07/21/2026,Sale,Purchase,200015377377356,3,129120331868123,3,13.99,Product Price,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IN,Martinsville,46151,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_959211,07/21/2026,Sale,Purchase,200015377377356,3,129120331868123,3,0.98,Product tax,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IN,Martinsville,46151,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_959211,07/21/2026,Sale,Purchase,200015377377356,3,129120331868123,3,-0.98,Product tax withheld,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IN,Martinsville,46151,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_959211,07/21/2026,Sale,Purchase,200015377377356,3,129120331868123,3,-2.10,Commission on Product,1,15.00,15.00,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IN,Martinsville,46151,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-2.10,,0.00,,,,,,,,USA,
"",,,,2026_07_22_1268770,07/21/2026,Adjustment,WFS Fulfillment fee,200015371560633,11,129120230000007,11,-10.35,Fee/Reimbursement,,,,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,MD,Mechanicsville,20659,Health & Personal Care,Bathing Cast & Wound Covers,,,Walmart-fulfilled(WFS),,,,,,,,,-10.35,0.00,,USA,
"",,,,2026_07_22_1268771,07/21/2026,Sale,Purchase,200015371560633,11,129120230000007,11,38.97,Product Price,3,,,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,MD,Mechanicsville,20659,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace standard,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_1268771,07/21/2026,Sale,Purchase,200015371560633,11,129120230000007,11,2.34,Product tax,3,,,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,MD,Mechanicsville,20659,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace standard,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_1268771,07/21/2026,Sale,Purchase,200015371560633,11,129120230000007,11,-2.34,Product tax withheld,3,,,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,MD,Mechanicsville,20659,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace standard,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_1268771,07/21/2026,Sale,Purchase,200015371560633,11,129120230000007,11,-5.85,Commission on Product,3,15.00,15.00,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,MD,Mechanicsville,20659,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace standard,Walmart-fulfilled(WFS),Delivery,-5.85,,0.00,,,,,,,,USA,
"",,,,2026_07_19_138667,07/18/2026,Sale,Purchase,200015354200443,1,129120016537718,1,12.99,Product Price,1,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,AR,Garfield,72732,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_138667,07/18/2026,Sale,Purchase,200015354200443,1,129120016537718,1,0.97,Product tax,1,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,AR,Garfield,72732,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_138667,07/18/2026,Sale,Purchase,200015354200443,1,129120016537718,1,-0.97,Product tax withheld,1,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,AR,Garfield,72732,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_138667,07/18/2026,Sale,Purchase,200015354200443,1,129120016537718,1,-1.95,Commission on Product,1,15.00,15.00,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,AR,Garfield,72732,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.95,,0.00,,,,,,,,USA,
"",,,,2026_07_19_165423,07/18/2026,Adjustment,WFS Fulfillment fee,200015354200443,1,129120016537718,1,-3.45,Fee/Reimbursement,,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,AR,Garfield,72732,Health & Personal Care,Adhesive Bandages,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_19_319890,07/18/2026,Sale,Purchase,200015344369956,2,129119915235981,2,12.99,Product Price,1,,,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,KS,Topeka,66605,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_319890,07/18/2026,Sale,Purchase,200015344369956,2,129119915235981,2,1.22,Product tax,1,,,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,KS,Topeka,66605,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_319890,07/18/2026,Sale,Purchase,200015344369956,2,129119915235981,2,-1.22,Product tax withheld,1,,,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,KS,Topeka,66605,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_319890,07/18/2026,Sale,Purchase,200015344369956,2,129119915235981,2,-1.95,Commission on Product,1,15.00,15.00,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,KS,Topeka,66605,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.95,,0.00,,,,,,,,USA,
"",,,,2026_07_19_333596,07/18/2026,Adjustment,WFS Fulfillment fee,200015344369956,2,129119915235981,2,-3.45,Fee/Reimbursement,,,,,QF-AZVE-XFNW,00794302517433,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 3pk Adult Reusable Cast Protectors - Half Arm Bag Sleeves,2038710,KS,Topeka,66605,Health & Personal Care,Bathing Cast & Wound Covers,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_19_404860,07/18/2026,Sale,Purchase,200015344367445,1,129119913754065,1,11.99,Product Price,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,NC,Belmont,28012,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace standard,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_404860,07/18/2026,Sale,Purchase,200015344367445,1,129119913754065,1,0.84,Product tax,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,NC,Belmont,28012,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace standard,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_404860,07/18/2026,Sale,Purchase,200015344367445,1,129119913754065,1,-0.84,Product tax withheld,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,NC,Belmont,28012,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace standard,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
